food_name,calories_per_100g_kcal,fat_per_100g_g,cholesterol_per_100g_mg,protein_per_100g_g,carbohydrate_per_100g_g,fiber_per_100g_g,sugar_per_100g_g,sodium_per_100g_mg,kalium_per_100g_mg,detail_url,instance_weight_g
Ayam Bakar,188.0,7.35,88.0,28.69,0.0,0.0,0.0,409.0,241.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-bakar-(kulit-tidak-dimakan),85
Ayam Goreng,260.0,14.55,57.0,21.93,10.76,1.4,0.26,350.0,323.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-goreng,85
Bakso,202.0,13.16,74.0,12.41,7.58,0.5,1.51,478.0,213.0,"https://www.fatsecret.co.id/kalori-gizi/umum/bakso-daging-sapi?portionid=570250&portionamount=100,000",28
Bakwan,228.0,19.31,49.0,3.31,11.23,1.2,1.75,164.0,123.0,"https://www.fatsecret.co.id/kalori-gizi/umum/bakwan?portionid=5125717&portionamount=100,000",60
Bihun,152.0,5.68,35.0,5.91,18.26,0.6,1.3,322.0,119.0,https://www.fatsecret.co.id/kalori-gizi/umum/bihun-goreng,240
Capcay,67.0,2.59,3.0,1.58,9.67,1.5,2.12,403.0,212.0,https://www.fatsecret.co.id/kalori-gizi/umum/cap-cay-kuah,90
Gado Gado,132.0,7.41,78.0,7.14,10.9,2.9,1.84,126.0,312.0,https://www.fatsecret.co.id/kalori-gizi/umum/gado-gado,241
Ikan goreng,167.0,9.36,64.0,19.32,0.0,0.0,0.0,78.0,389.0,https://www.fatsecret.co.id/kalori-gizi/umum/ikan-kembung,85
Kerupuk Udang,541.0,35.19,81.0,6.66,50.08,0.5,1.89,1364.0,32.0,"https://www.fatsecret.co.id/kalori-gizi/umum/kerupuk-udang?portionid=53028&portionamount=100,000",2
Martabak Telur,185.0,7.68,145.0,9.9,18.52,1.3,0.94,135.0,210.0,https://www.fatsecret.co.id/kalori-gizi/umum/martabak-telur,18
Mie,137.0,2.06,29.0,4.51,25.01,1.2,0.4,236.0,38.0,https://www.fatsecret.co.id/kalori-gizi/umum/mie,160
Nasi Goreng,168.0,6.23,52.0,6.3,21.06,0.7,0.76,415.0,102.0,https://www.fatsecret.co.id/kalori-gizi/umum/nasi-goreng,149
Nasi Putih,129.0,0.28,0.0,2.66,27.9,0.4,0.05,365.0,35.0,https://www.fatsecret.co.id/kalori-gizi/umum/nasi-putih,105
Nugget,297.0,18.82,55.0,15.59,16.32,0.9,0.88,574.0,261.0,"https://www.fatsecret.co.id/kalori-gizi/umum/chicken-nugget?portionid=50418&portionamount=100,000",16
Opor Ayam,163.0,8.67,40.0,16.53,5.6,1.5,1.77,219.0,325.0,https://www.fatsecret.co.id/kalori-gizi/umum/opor-ayam,240
Pempek,195.0,5.2,81.0,12.61,23.58,0.7,9.32,57.0,231.0,"https://www.fatsecret.co.id/kalori-gizi/umum/pempek?portionid=4969140&portionamount=100,000",20
Rendang,195.0,11.07,29.0,19.68,4.49,1.7,1.31,184.0,373.0,https://www.fatsecret.co.id/kalori-gizi/umum/rendang,240
Roti,264.0,1.3,0.0,9.61,55.81,7.1,0.28,486.0,239.0,"https://www.fatsecret.co.id/kalori-gizi/umum/roti?portionid=333753&portionamount=100,000",37
Sate,225.0,14.82,49.0,19.54,4.87,1.9,1.99,355.0,315.0,"https://www.fatsecret.co.id/kalori-gizi/umum/sate-ayam?portionid=4969313&portionamount=100,000",45
Sosis,172.0,9.98,79.0,17.82,1.52,0.0,0.0,722.0,232.0,"https://www.fatsecret.co.id/kalori-gizi/umum/sosis-ayam?portionid=342769&portionamount=100,000",30
Soto,130.0,6.19,53.0,9.96,8.11,0.7,0.41,87.0,124.0,"https://www.fatsecret.co.id/kalori-gizi/umum/soto-ayam?portionid=5702665&portionamount=100,000",241
Tahu,271.0,20.18,0.0,17.19,10.49,3.9,2.72,16.0,146.0,"https://www.fatsecret.co.id/kalori-gizi/umum/tahu-goreng?portionid=61069&portionamount=100,000",13
Telur,147.0,9.94,423.0,12.58,0.77,0.0,0.77,140.0,134.0,"https://www.fatsecret.co.id/kalori-gizi/umum/telur?portionid=51772&portionamount=100,000",50
Tempe,225.0,15.21,0.0,13.31,11.94,0.3,0.18,277.0,315.0,https://www.fatsecret.co.id/kalori-gizi/umum/tempe-goreng,15
Tumis Kangkung,98.0,8.71,2.0,2.56,3.99,1.7,0.51,384.0,422.0,https://www.fatsecret.co.id/kalori-gizi/umum/tumis-kangkung,85
Udang,144.0,2.35,206.0,27.59,1.24,0.0,0.0,613.0,176.0,https://www.fatsecret.co.id/kalori-gizi/umum/udang,145
Lontong,144.0,0.23,0.0,2.76,31.76,1.2,0.12,123.0,51.0,"https://www.fatsecret.co.id/kalori-gizi/umum/lontong?portionid=6403427&portionamount=100,000",0
Ketupat,160.0,2.42,0.0,3.27,30.36,1.1,0.11,120.0,49.0,https://www.fatsecret.co.id/kalori-gizi/umum/ketupat,0
Bubur Ayam,155.0,5.16,30.0,11.48,15.05,0.8,0.08,244.0,169.0,"https://www.fatsecret.co.id/kalori-gizi/umum/bubur-ayam?portionid=5260590&portionamount=100,000",0
Bubur Kacang Hijau,108.0,3.06,0.0,3.54,17.76,2.8,8.35,46.0,161.0,https://www.fatsecret.co.id/kalori-gizi/umum/bubur-kacang-hijau,0
Gudeg,127.0,4.71,0.0,1.82,22.54,2.1,2.45,147.0,300.0,https://www.fatsecret.co.id/kalori-gizi/umum/gudeg,0
Jagung Rebus,93.0,0.74,0.0,3.11,22.33,2.8,3.59,4.0,251.0,https://www.fatsecret.co.id/kalori-gizi/umum/jagung-rebus,0
Singkong Rebus,146.0,0.26,0.0,1.24,34.76,1.6,1.55,13.0,247.0,https://www.fatsecret.co.id/kalori-gizi/umum/singkong-rebus,0
Ubi Jalar,76.0,0.14,0.0,1.37,17.72,2.5,5.74,27.0,230.0,https://www.fatsecret.co.id/kalori-gizi/umum/ubi-jalar-(tanpa-kulit-dimasak-direbus),0
Nasi Uduk,163.0,8.09,0.0,2.54,20.52,1.0,1.14,198.0,110.0,"https://www.fatsecret.co.id/kalori-gizi/umum/nasi-uduk?portionid=6035967&portionamount=100,000",0
Nasi Liwet,138.0,2.72,0.0,2.74,25.94,1.2,0.51,228.0,113.0,https://www.fatsecret.co.id/kalori-gizi/umum/nasi-liwet,0
Nasi Kuning,95.0,0.17,0.0,1.89,20.86,0.4,0.39,550.0,44.0,"https://www.fatsecret.co.id/kalori-gizi/umum/nasi-kuning?portionid=53194&portionamount=100,000",0
